Order Region,Avg_Shipping_Days
Canada,3.3315954118873825
Caribbean,3.507213272421255
Central Africa,3.560524746571258
Central America,3.510461875022053
Central Asia,3.4177215189873418
East Africa,3.5145788336933044
East of USA,3.5009399855386842
Eastern Asia,3.527335164835165
Eastern Europe,3.500765306122449
North Africa,3.4805074257425743
Northern Europe,3.5023488562091503
Oceania,3.4963539613716987
South America,3.505724807499163
South Asia,3.502004915276161
South of  USA ,3.492707045735476
Southeast Asia,3.4966977670615367
Southern Africa,3.4468452895419186
Southern Europe,3.4357968402078254
US Center ,3.4576184813996944
West Africa,3.534090909090909
West Asia,3.4867698452321516
West of USA ,3.504941824096084
Western Europe,3.498432254970674
